,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10
Protein_1,190.25343970616143,138.49965704492607,205.17110079585674,317.82945319417695,132.01602445944417,132.01710816852943,326.8843399114011,217.83052769734067,117.36195678280644,194.66497845318483
Protein_2,117.7179081610844,117.5819013122812,167.4996289071587,57.01759347530352,62.648584276444154,112.04003193001593,89.44146954937399,173.66422027844754,94.25350012462734,73.24779531330587
Protein_3,308.84032150883417,132.57013813084976,153.50975298094113,72.79344477822572,113.04756255674522,156.8768801532605,83.47132930591002,179.0829326022885,109.9120669824761,128.27201485425323
Protein_4,109.8533938741836,374.70501593819654,147.4149482788162,87.45676312482956,223.91633017034994,80.60641001032988,164.7504323242979,55.71029381684061,76.39421516352134,163.76469614432534
Protein_5,214.69819333135612,161.69052045560463,140.0747009898551,127.6699160408008,70.86233171351587,103.55241356749458,117.88158628064714,251.78136534907108,176.23338095351366,61.465738518663436
Protein_6,174.52046011246242,122.42013519691758,105.79878123575435,201.5098259908605,248.51414395675883,236.42713413690063,97.55255304563129,127.1533466582687,175.1480674157708,241.71819485817423
Protein_7,116.79413803490628,135.25616672116948,85.35615086324486,81.60550214624341,222.79741623545834,292.39920654729866,143.1645888256902,245.12455005619452,177.8282172219739,107.49454721474201
Protein_8,177.80684181774336,320.22320979219626,145.77830086979392,324.5117768907483,40.04995091638249,223.844418929593,155.01525541666038,127.80380630154107,155.38103463931677,54.93856399882864
Protein_9,132.97538768290957,177.42647287221934,310.7370395030458,114.53321758843163,99.06272135360123,115.48278580533437,234.55757000681632,174.9281913954266,113.87711155090452,191.83463340429543
Protein_10,155.79464699674435,240.88568750721754,104.47767926724369,125.98576529258989,121.99083554570824,71.39604858975517,172.0973213385224,169.10632110749424,148.79309672136597,131.9873960176215
Protein_11,73.13555441189636,120.2625583189007,125.04113232027616,99.3711038225906,136.91456856047802,181.63976789647288,381.1118686774796,161.9502041864589,168.8102318181684,142.99033522216814
Protein_12,56.86126720333724,146.45863919409774,152.95061705868702,508.57925119854633,134.80368266919348,172.56494720837952,145.85954164898592,82.73651011338951,262.8047621491926,216.14868261942416
Protein_13,220.41584650155033,94.18927038522482,299.2852570275101,73.6316137828315,199.02462223607986,443.7351222506037,90.44408707819761,111.81560551563791,155.9952694176354,115.38359346373338
Protein_14,68.35182642505038,153.5891971834017,87.25615850158461,188.0666112655832,93.71777597989009,322.1338693624635,100.32083034678658,126.3390595824377,222.90788373192856,80.20355509701906
Protein_15,166.28945377187785,285.30859305778415,66.43728252498747,162.76654408170748,169.0072134459341,219.40326646194256,79.9598508690427,76.69002850422838,192.66843974843084,172.1717175469103
Protein_16,168.21558910042336,176.4829206346238,105.63477641938124,166.68850790206355,171.8352616338377,103.83720030688559,377.2421374089241,188.0892267209371,81.80580864344694,206.0825474532479
Protein_17,91.1639163641112,219.9812470134558,264.8855350604275,98.460833614537,240.25192603713543,182.43436481185068,223.86206479031884,383.13848035100744,131.2765204981642,101.81240139046632
Protein_18,95.12984855019944,98.70097822823091,142.80058482252744,176.0161914018812,170.43353550951187,224.43623249991478,149.38112797413743,306.97522333424206,130.0178285027166,578.2952684443038
Protein_19,202.92443611994932,96.68141791507932,86.88224976794663,188.9034820473513,132.7235783725313,212.08778031135347,188.03325063797467,143.1059898776792,97.18371351194769,69.58690392628804
Protein_20,118.71700171053132,227.7388088726474,165.18183081282658,79.60927535673757,161.83713061293494,179.94633901556213,95.39930391121091,160.27042631352293,152.79610097430754,83.80685877406893
Protein_21,177.4863456736259,196.4469191341003,255.06683824743115,251.36373310331004,74.52728619804776,92.85948903467441,192.0042742702731,191.88437468788024,192.00546653386533,1018.7847203784136
Protein_22,197.44207601937464,261.85288019951366,239.1284563344252,205.5512974992124,126.76885358974329,216.91045318643435,100.84527310296028,131.84021496118632,116.43325915842743,154.6148320366927
Protein_23,472.1653695011569,58.34463467077885,209.16639743784518,66.26368863343231,117.21783802093937,255.8203137154398,153.2606412420203,86.5850883714004,103.78777044793786,208.47077727621368
Protein_24,103.00903307499102,165.3772610813088,151.83371169032523,107.14679672121716,433.53478909550233,203.76339884454205,53.91607692714345,162.91476621463462,106.60247910606776,227.2877117076312
Protein_25,99.85704675518932,140.13857847247792,191.04206501715638,228.80671253663516,81.43879825334334,125.5556871013551,117.0413562331615,107.05421449988033,358.7863622553668,181.72432763869332
Protein_26,79.00870393832027,234.84623328382924,428.8375168170074,248.69633903019334,69.42971993784471,116.49903195439238,279.6267210364976,104.18469808985704,185.28769292758523,218.61605697222237
Protein_27,93.36670126957398,144.0610721716755,29.352165631234524,88.92614371609449,130.80608041598992,79.52794020353417,335.6958870220245,72.59741470114913,119.10170079471312,158.439099412065
Protein_28,305.0991008137884,72.39005473447833,265.49124804175483,149.17446552209583,90.85325972321323,186.98936379430324,163.94481016227593,109.93525058334096,153.6843836361732,122.40597712042012
Protein_29,157.0805408141472,206.65801741149184,327.99829430227385,79.92528418508579,431.17614138670035,55.92190144168034,137.5665021909278,199.169974474994,170.80045304982926,108.70635326178743
Protein_30,133.7455179849004,115.98948409813423,110.53338715588005,226.96618656224697,177.41786030820091,104.95641852927726,232.7116044352691,173.06197380550165,222.83488237479358,203.326776439776
